Open Price,Close Price,High Price,Low Price,BTC Volume,USD Volume,Number of Trades,Candle Open Time,Candle Close Time,Trading Pair
63970.13000000,64055.08000000,64057.99000000,63970.12000000,23.66237000,1515088.57454520,1542,2024-05-05 14:43:00,2024-05-05 14:43:59,BTCUSD
64055.07000000,64020.01000000,64055.08000000,64017.99000000,13.63112000,872756.02826310,673,2024-05-05 14:44:00,2024-05-05 14:44:59,BTCUSD
64020.01000000,64075.00000000,64090.04000000,64017.12000000,22.56109000,1445440.68646480,1078,2024-05-05 14:45:00,2024-05-05 14:45:59,BTCUSD
64075.00000000,64101.99000000,64125.38000000,64074.99000000,17.45775000,1119036.23197840,1241,2024-05-05 14:46:00,2024-05-05 14:46:59,BTCUSD
64102.00000000,64090.00000000,64104.38000000,64056.46000000,12.24711000,784838.31159940,994,2024-05-05 14:47:00,2024-05-05 14:47:59,BTCUSD
64090.00000000,64041.99000000,64090.01000000,64020.13000000,14.48460000,928023.36440790,855,2024-05-05 14:48:00,2024-05-05 14:48:59,BTCUSD
64042.00000000,64015.99000000,64042.00000000,64010.61000000,15.38736000,985179.34958900,600,2024-05-05 14:49:00,2024-05-05 14:49:59,BTCUSD
64015.99000000,63988.01000000,64023.28000000,63964.00000000,10.02985000,641793.93798980,779,2024-05-05 14:50:00,2024-05-05 14:50:59,BTCUSD
63988.00000000,64025.41000000,64026.00000000,63988.00000000,11.89658000,761469.83094410,599,2024-05-05 14:51:00,2024-05-05 14:51:59,BTCUSD
64025.40000000,64002.58000000,64042.82000000,64002.57000000,15.24231000,975850.97551580,852,2024-05-05 14:52:00,2024-05-05 14:52:59,BTCUSD
64002.58000000,63985.99000000,64002.58000000,63977.82000000,6.72354000,430229.01253040,619,2024-05-05 14:53:00,2024-05-05 14:53:59,BTCUSD
63985.98000000,63984.01000000,63991.71000000,63984.00000000,6.21614000,397738.48409680,445,2024-05-05 14:54:00,2024-05-05 14:54:59,BTCUSD
63984.01000000,63997.99000000,64000.00000000,63977.12000000,6.04003000,386509.25511700,432,2024-05-05 14:55:00,2024-05-05 14:55:59,BTCUSD
63997.99000000,64035.18000000,64036.63000000,63997.99000000,12.49552000,799944.84405970,596,2024-05-05 14:56:00,2024-05-05 14:56:59,BTCUSD
64035.18000000,64109.61000000,64120.00000000,64029.09000000,35.25041000,2259113.71898370,1130,2024-05-05 14:57:00,2024-05-05 14:57:59,BTCUSD
64109.61000000,64146.01000000,64146.50000000,64096.00000000,14.38937000,922554.94033810,1007,2024-05-05 14:58:00,2024-05-05 14:58:59,BTCUSD
64146.01000000,64100.00000000,64148.08000000,64100.00000000,13.55554000,869268.40763030,764,2024-05-05 14:59:00,2024-05-05 14:59:59,BTCUSD
64100.01000000,64036.83000000,64115.36000000,64036.82000000,26.16178000,1676054.70905670,1201,2024-05-05 15:00:00,2024-05-05 15:00:59,BTCUSD
64036.82000000,64006.00000000,64042.82000000,63993.28000000,18.34722000,1174490.53431420,1013,2024-05-05 15:01:00,2024-05-05 15:01:59,BTCUSD
64005.99000000,64031.99000000,64042.95000000,63989.23000000,17.37372000,1112183.12408870,984,2024-05-05 15:02:00,2024-05-05 15:02:59,BTCUSD
64031.99000000,64032.00000000,64032.01000000,64013.32000000,9.34678000,598418.69672850,582,2024-05-05 15:03:00,2024-05-05 15:03:59,BTCUSD
64032.00000000,64058.74000000,64058.75000000,64032.00000000,5.63501000,360914.20839990,476,2024-05-05 15:04:00,2024-05-05 15:04:59,BTCUSD
64058.74000000,64034.70000000,64058.74000000,64026.49000000,9.70470000,621520.61211820,723,2024-05-05 15:05:00,2024-05-05 15:05:59,BTCUSD
64034.69000000,64015.99000000,64034.70000000,64006.00000000,8.32387000,532885.64174690,571,2024-05-05 15:06:00,2024-05-05 15:06:59,BTCUSD
64015.99000000,64049.99000000,64050.00000000,64015.99000000,6.02632000,385889.31882030,827,2024-05-05 15:07:00,2024-05-05 15:07:59,BTCUSD
64050.00000000,64065.14000000,64065.14000000,64040.00000000,8.11370000,519747.03716310,579,2024-05-05 15:08:00,2024-05-05 15:08:59,BTCUSD
64065.14000000,64087.83000000,64087.84000000,64047.12000000,8.28668000,530877.41919140,593,2024-05-05 15:09:00,2024-05-05 15:09:59,BTCUSD
64087.84000000,64060.16000000,64087.84000000,64060.15000000,7.19348000,460911.81492350,566,2024-05-05 15:10:00,2024-05-05 15:10:59,BTCUSD
64060.15000000,64088.38000000,64088.39000000,64057.27000000,9.79049000,627226.36310930,641,2024-05-05 15:11:00,2024-05-05 15:11:59,BTCUSD
64088.39000000,64162.73000000,64162.74000000,64069.27000000,25.59616000,1641026.58262020,1212,2024-05-05 15:12:00,2024-05-05 15:12:59,BTCUSD
64162.74000000,64113.19000000,64170.00000000,64086.95000000,38.50665000,2469629.58922790,1253,2024-05-05 15:13:00,2024-05-05 15:13:59,BTCUSD
64113.19000000,64127.98000000,64135.17000000,64108.77000000,8.94961000,573826.44908970,590,2024-05-05 15:14:00,2024-05-05 15:14:59,BTCUSD
64127.97000000,64152.91000000,64152.92000000,64100.52000000,12.69232000,813906.72127180,797,2024-05-05 15:15:00,2024-05-05 15:15:59,BTCUSD
64152.92000000,64165.27000000,64189.52000000,64144.00000000,22.36766000,1435381.08231120,1669,2024-05-05 15:16:00,2024-05-05 15:16:59,BTCUSD
64165.28000000,64119.25000000,64165.96000000,64104.37000000,14.08525000,903384.80380110,957,2024-05-05 15:17:00,2024-05-05 15:17:59,BTCUSD
64119.25000000,64087.99000000,64127.82000000,64081.76000000,9.07359000,581623.66225180,636,2024-05-05 15:18:00,2024-05-05 15:18:59,BTCUSD
64087.99000000,64076.57000000,64099.90000000,64076.43000000,6.42790000,411950.28278610,547,2024-05-05 15:19:00,2024-05-05 15:19:59,BTCUSD
64076.58000000,64102.77000000,64102.78000000,64066.44000000,10.07194000,645477.70789860,621,2024-05-05 15:20:00,2024-05-05 15:20:59,BTCUSD
64102.78000000,64104.00000000,64104.38000000,64089.71000000,6.09967000,390975.48063280,593,2024-05-05 15:21:00,2024-05-05 15:21:59,BTCUSD
64104.00000000,64260.00000000,64260.00000000,64103.99000000,44.82061000,2875917.02244770,2141,2024-05-05 15:22:00,2024-05-05 15:22:59,BTCUSD
64259.99000000,64330.01000000,64363.59000000,64219.73000000,122.53066000,7879533.52060520,5395,2024-05-05 15:23:00,2024-05-05 15:23:59,BTCUSD
64330.01000000,64340.00000000,64352.94000000,64281.02000000,38.50406000,2476596.05362900,2291,2024-05-05 15:24:00,2024-05-05 15:24:59,BTCUSD
64340.01000000,64410.57000000,64410.58000000,64340.00000000,73.70350000,4745306.55765890,3984,2024-05-05 15:25:00,2024-05-05 15:25:59,BTCUSD
